Location,id,account,headless,gender,video_set,range,personalization_on,activity_on,pr1_count,pr2_count,pr_count,preroll_ad_rate,pr2_rate,pr1_scam,pr2_scam,preroll_scam,side_count,side_ad_rate,side_scam,promoted_vid_count,all_ad_rate,notes
,,,,,,,,,,,,,,,,,,,,,,
"yt-east-1: us-east5-a (Columbus, Ohio)",0904_2337,sublinears,FALSE,Male,science_videos_subset_20230815_0_30_41.csv,3000,TRUE,TRUE,147,89,236,7.87%,37.71%,2.04%,3.37%,2.54%,466,15.53%,7.30%,36,24.60%,
"yt-east-1: us-east5-a (Columbus, Ohio)",0904_2337,banachnorm,FALSE,Male,science_videos_subset_20230815_0_30_41.csv,3000,TRUE,FALSE,176,144,320,10.67%,45.00%,6.82%,10.42%,8.44%,605,20.17%,10.10%,15,31.33%,
"yt-east-1: us-east5-a (Columbus, Ohio)",0904_2337,nonconcave,FALSE,Male,science_videos_subset_20230815_0_30_41.csv,3000,FALSE,FALSE,175,145,320,10.67%,45.31%,5.14%,11.03%,7.81%,596,19.87%,16.60%,5,30.70%,
,,,,,,,,,,,,,,,,,,,,,,
"yt-central-1: us-central1-a (Council Bluffs, Iowa)",0904_2237,clopentopo,FALSE,Male,science_videos_subset_20230815_0_30_41.csv,3000,TRUE,TRUE,135,83,218,7.27%,38.07%,0.74%,1.20%,0.92%,332,11.07%,7.20%,22,19.07%,
"yt-central-1: us-central1-a (Council Bluffs, Iowa)",0904_2237,affineroot,FALSE,Male,science_videos_subset_20230815_0_30_41.csv,3000,TRUE,FALSE,250,197,447,14.90%,44.07%,3.60%,7.11%,5.15%,531,17.70%,11.10%,11,32.97%,
"yt-central-1: us-central1-a (Council Bluffs, Iowa)",0904_2237,kahlerform,FALSE,Male,science_videos_subset_20230815_0_30_41.csv,3000,FALSE,FALSE,168,143,311,10.37%,45.98%,4.76%,6.29%,5.47%,627,20.90%,,14,31.73%,
,,,,,,,,,,,,,,,,,,,,,,
"yt-west-1: us-west1-b (The Dalles, Oregon)",0904_2037,nonlattice,FALSE,Male,science_videos_subset_20230815_0_30_41.csv,3000,TRUE,TRUE,159,74,233,7.77%,31.76%,1.89%,2.70%,2.15%,270,9.00%,,22,17.50%,
"yt-west-1: us-west1-b (The Dalles, Oregon)",0904_2037,maxiconvex,FALSE,Male,science_videos_subset_20230815_0_30_41.csv,3000,TRUE,FALSE,167,133,300,10.00%,44.33%,5.39%,11.28%,8.00%,792,26.40%,,7,36.63%,
"yt-west-1: us-west1-b (The Dalles, Oregon)",0904_2037,eigentrace,FALSE,Male,science_videos_subset_20230815_0_30_41.csv,3000,FALSE,FALSE,164,130,294,9.80%,44.22%,8.54%,8.46%,8.50%,603,20.10%,,7,30.13%,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"yt-east-1: us-east5-a (Columbus, Ohio)",0907_2127,nonconcave,FALSE,Male,us_entertainment_unique_Aug152023.csv,3000,TRUE,TRUE,247,111,358,11.93%,31.01%,0.00%,0.00%,0.00%,429,14.30%,,105,29.73%,
"yt-east-1: us-east5-a (Columbus, Ohio)",0907_2127,sublinears,FALSE,Male,us_entertainment_unique_Aug152023.csv,3000,TRUE,FALSE,237,122,359,11.97%,33.98%,2.53%,4.10%,3.06%,291,9.70%,,8,21.93%,
"yt-east-1: us-east5-a (Columbus, Ohio)",0907_2127,banachnorm,FALSE,Male,us_entertainment_unique_Aug152023.csv,3000,FALSE,FALSE,237,137,374,12.47%,36.63%,3.38%,7.30%,4.81%,352,11.73%,,10,24.53%,
,,,,,,,,,,,,,,,,,,,,,,
"yt-central-1: us-central1-a (Council Bluffs, Iowa)",0907_2027,affineroot,FALSE,Male,us_entertainment_unique_Aug152023.csv,3000,TRUE,TRUE,282,148,430,14.33%,34.42%,1.06%,1.35%,1.16%,157,5.23%,,60,21.57%,
"yt-central-1: us-central1-a (Council Bluffs, Iowa)",0907_2027,kahlerform,FALSE,Male,us_entertainment_unique_Aug152023.csv,3000,TRUE,FALSE,232,141,373,12.43%,37.80%,2.16%,1.42%,1.88%,296,9.87%,,14,22.77%,
