video_id,video_title,channel_name
bpxAIYrtGLw,How to Destroy the Climate Change Hoax,TFP Student Action
Y2ZsfFOnvOk,PROPHETIC RUMORS THAT ARE NOT TRUE | EPISODE 984,Perry Stone
8T_INm_vl5M,QTR #139 - Whitney Webb Goes Deep: Blowing Open The Jeffrey Epstein Scandal,Quoth the Raven
sdaIupAAB_g,Cup of Gethsemane as You've Never Seen It Before!,A&Ω Productions
1zrejG-WI3U,Global Warming: Fact or Fiction? Featuring Physicists Willie Soon and Elliott D. Bloom,Independent Institute
KFuf-gBuuno,The Story of the Enigmatic and Mysterious Tube Drills of Ancient Egypt - UnchartedX full documentary,UnchartedX
DKZfhP2NxjM,The Airplane That Landed With 92 Skeletons on Board,TheTopMan 2.0
57mEitNDUOo,Pedophile Sex Trafficker Ghislaine Maxwell Seen In Public — The Political Vigilante,Graham Elwood
cYbe154a6C8,THEY KEPT THIS HIDDEN  | This Is What Archaeologists Don't Want You To Know | Graham Hancock,Inspire Discipline
IoqTTIJHMSs,#Sumerian Advanced Astronomical Knowledge That Still Remains A Mystery For #Historians,TV Studio Documentaries
JAE0ILU-wvY,"Who is Trump in the Bible? BILLIONS Won't Know It! | Shofar, Trumpet, Second Coming of Jesus Christ",REAL Bible Believers
3TWQlC4ydpY,10 Scary & Unexplained Stories (Vol. 30),Swamp Dweller
auQFwHmSXeo,Signs of Him coming back - Shocking revelation by Pastor Carter Conlon,What's Trending Now !
MwA594g7tso,USA Prophetic 2019: Worldwide Persecution in the Last Days - Session 10 // Sadhu Sundar Selvaraj,CMFI-USA Miracle Center
GElrbCpkVo8,The Man History tried to forget existed - The Genius Nikola Tesla,NaTuber Tv
LtIGme2dmkI,Most MYSTERIOUS Archaeological Finds,Talltanic
jEVZJdbts8c,ARE YOU LISTENING to GOD?,DTBM
L3LUFG1rfIE,TROLLING RAGING REFUND SCAMMERS!,ScammerRevolts
FIrYD7djFH8,The Last Druid - Documentary on Ben McBrady of The Old Gaelic Order,Maoleachlainn
LO5hPu9N5d8,"Illuminati Vatican, Pope Secrets, Vatican Angel and Demons, New World Order Conspiracy Documentary",ROYAL DOC
eUSRoR-YxEE,Return of the Nephilim   Chuck Missler (1997),michael7557
nVW7AkyPugk,Jeffrey Epstein did he commit SUICIDE??? or was he MURDERED????,Intuitive Tarot for (Unique Souls)
d_phM3p8VDs,Skin Tag Removal with Apple Cider Vinegar 2017,Annah Aries
iIGQhigQEDo,Antichrist Unity Agenda: Benchmarks of the Beast,AmazingFacts
4TTSnSml878,120-Year Cycle WARNS of the Days of Noah + Gog Magog War + JESUS Coming Soon,Steve Cioccolanti & Discover Ministries
iaBCBnDF5Rg,The Trump Presidency- Prophetic Projections and Patterns | Episode 879,Perry Stone
va0C863JQUg,Jonathan Cahn: The Ghost Kingdom - a Prophetic Endtime Mystery,Connie Oelbaum
i1_apXo2wjM,7 Prophetic Warnings Lester Sumrall Gave Over America That Ring True,Jennifer LeClaire Ministries
6hy1LBtHtK8,Sheikha Latifa's recorded message before fleeing Dubai.  #FreeLatifa,Why Do Dubai's Princesses Run Away?
egUungOr3WA,Demons Came to Her & Gave Her Strange Powers | Robin Harfouche,Sid Roth's It's Supernatural!
1nOIn4RXj_Q,Jeffrey Epstein Case Insights From Child Crimes Investigator — The Political Vigilante,Graham Elwood
ppv__IAhiC4,"ALL CONSPIRACY THEORIES MAKE SENSE, New World Order, NASA - Eddie Bravo, Joe Rogan, Brendan Schaub",Conspiracy Box
O1GCeuSr3Mk,"""September 11 - The New Pearl Harbor"" - Full version (1/3)",luogocomune2
MCSpgJNjop0,"Round Table Discussion Saturday Secret Space Program Conference, 2014 San Mateo",secretspaceprogram
eN7UPXYX7ts,The Truth About 5G - Dr Graham Downing,jacob erben
NapHiWsoFXI,David Icke on Wogan (Complete Interview),TheManInTheDarkness
MvleOBYTrDE,"David Fitzgerald Skepticon 3 ""Examining the Existence of a Historical Jesus""",HamboneProductions
TS1GC2kX9HY,"An Unholy Alliance: the UN, Soros, and the Francis Papacy - Elizabeth Yore",The Fatima Center
wgazsNiu3BA,"The Truth About the Deficit, Debt, and U.S. currency",Amadonics
LGtdz2Zdm-E,"Eddie Bravo Explains the ""Space is Fake"" Conspiracy | Joe Rogan",JRE Clips
VTRDbLDqwoU,Johnny Gosch | Explained in 5 Minutes | reallygraceful,reallygraceful
udWXFC2sWU8,G. Edward Griffin - The Capitalist Conspiracy: An Inside View of International Banking (1973),EnigmaVideos
Chq6iBr-qdA,What if the Titanic was switched?,What If
vVR91ZDLS1A,The satanic law of reversal Sabbatai Zevi & Jacob Frank,Ken Ammi
bwjefpNkuas,Prince Exposes Illuminati Depopulation Plans!!!,Steven Jobs
vB5LK-jihgk,Glenn Beck Exposes the Private Fed; Gets Fired by Fox,P0LICEstateWATCH
WK76Dl18uAU,Fiat Empire -- Why the Federal Reserve Violates the U.S. Constitution  (Full Length),HORIZONS
rtWuA_dU2C4,THE ARK AND THE BLOOD - The discovery of the Ark of the Covenant,Ark Files
Y43MmPQhpQ0,Israelite Nation - Elder Shadrock: 400 Year Prophecy Explained  (1619 - 2019),Israelite Nation World Wide Ministries
Xnb4lh7nZQM,Unexplained Impossible Ancient OOPArts,Mystery History II
-cilp5kapJI,Lost Ancient Super Civilizations,Mystery History II
XbeMZzqq_Oo,The Great Floods Submerged Ruins,Mystery History II
uSw6Tdo4RCU,WEEKEND CARNAGE: Two Mass Shooters Over The Weekend,Jesse Lee Peterson
3wRRrSFm9BM,"Bible Prophecy Update, August 4th, 2019",J.D. Farag
m8PM1ZcyAzQ,Puzzling #Ancient #Artefacts That Will Show Our #History Is Still As Baffling As Ever,TV Studio Documentaries
V7-li6rcPJ0,"This 12,000 Year Old Ancient Discovery is Shaking the Foundations of  History..",The 5th Kind
eQx6AcQvUO4,Emily Dotson Teaches You How to Get Your Healing,Sid Roth's It's Supernatural!
6Fe5etdN7Ow,"Don Stewart: Jews, Jerusalem and the Coming Temple",Prophecy Source
Vk3Mvd_AZHw,Why Was The Great Sphinx of Giza Built? | Blowing Up History,Discovery UK
bsqIxpfgZDw,"The Big #Teotihuacan #Mystery, Even #Archaeologists Are Baffled By These Discoveries",TV Studio Documentaries
W-l23ec-4mc,The JFK Files : The Murder of a President - The Fifth Estate,The Fifth Estate
_lml2D4eHbQ,UFO patents by Salvatore Pais,Professor Simon Holland
2YoHfG4HrDs,"Where Are the Giants, Nephilim & Mutants Hiding? | Genesis 6 explained by Dr. Gene Kim",REAL Bible Believers
ZJ2A1f50S6U,Alexa Finally Talks - Never ASK ALEXA These Questions (EXTREMELY TERRIFYING),AtReef
BbEqRRaHUs0,"★ How my Doctors are making me Sick (Prescription Drugs, Side Effects, NHS Cuts & Waiting Lists)",Project Diaries
WpN5PjOxHbo,Does Body Language Prove Bob Lazar Actually Worked On Alien Spacecraft At Area 51?,Derek Van Schaik
rPcwdtFGBkc,Falling Away to the Anti-christ - David Wilkerson,ages777
ZSZn8YG3RWc,"ALMIGHTY God, IRAN & CURRENT Events",DTBM
knWCsonQVG4,"Paleontologist Trevor Valle Debunks ""Dinosaurs Never Existed"" Conspiracy",PowerfulJRE
dRhLJqweWhw,DARK DAYS AHEAD--The Future of America According to the Bible,DTBM
B3j1LeBLCNc,Jeffrey Epstein's Black Book Will Get Him Killed — The Political Vigilante,Graham Elwood
mDy0J0J3b9Y,Are You Struggling with Fear? Watch This Video!,Sid Roth's It's Supernatural!
Bojt-clazxM,Did Princess Diana Predict Her Own Death? | Diana: The Night She Died | Timeline,Timeline - World History Documentaries
o85AU3_lNak,Testimony of Ghost Hunters Turned Christian!!!,Tetelestai on the Cross
FsQG6WzmuE8,The Donald Trump Prophecy | End-Time President Predicted,Steve Cioccolanti & Discover Ministries
Z1Wr36KbU0A,Government Declassifies Shocking UFO Footage,H3 Podcast Highlights
WriGCH83xoQ,"Satan’s LOCATION Exposed! // Fallen Angels, Nephilim & Demons Explored in Detail",AoC Network
9zTUspQlS8E,The Alien Abduction: Pascagoula man says he had an encounter with aliens,FOX10 News
75fWIrctfLI,"Trump Prophecy: THIRD TEMPLE is NOW REAL ~ Trump Prophecies, Third Temple documentary and Trump Coin",Trey Smith
Q-9prHsgxDE,THE MAFIA PART 1,TheMafiaRUs1
d_9R5yhbeNk,This Is the Exact Spot Where Jesus Was Baptized!,Sid Roth's It's Supernatural!
vbCXBilN0KE,THE 48 LAWS OF POWER: HAS THIS BECOME THE CON MAN'S BIBLE?,aGATHERING144
YdBnk6TjXEI,The Untold Truth Of Area 51,Grunge
WzJjoGZXB-I,Ancient Aliens: Secrets of the Roswell Rock (Season 9) | History,HISTORY
i5sObhIolik,"""Kabbalah Revealed"" Episode 1 -- A Basic Overview",Kabbalahinfo
3YA5z3ReLD8,Qualities of A Guardian of The Altar | Pastor Alph Lukau | Sunday 21 July 2019 | 3rd Service LIVE,Pastor Alph Lukau
dXkufPOCRaU,"Willie D: The Police Don't See Black Boys as Humans, They're Targets (Part 16)",djvlad
ORuiGO80huE,EARTHQUAKE ALERT! The BIG ONE - California Burns & Shakes in End Time Prophecy,Steve Cioccolanti & Discover Ministries
o-TFz6teM3M,10 Suspected Conspiracy Theories That Oddly Turned out to Be True,Thoughty2
_-UzA3t2q9E,Antifa Part 2: By any means necessary,BlazeTV
we6LSjKjPAE,Amazing Revelation of President Trump in the Bible!,Sid Roth's It's Supernatural!
3tWq-KVtht0,July 16 Capricorn ♑ Full Moon Lunar Eclipse ~ Closing Out Powerful Soul Lessons and Cycles,Molly McCord
j9w-i5oZqaQ,Ancient Aliens Debunked - (full movie) HD,VerseByVerseBT
Mjk7ySgEPCA,Jerrod Carmichael Doesn't Believe in the Moon Landing - Joe Rogan Experience,JRE Clips
CX8kORqNcQw,"Bigfoot encounter at the Oregon Caves, Part 1",gpdailycourier
kBte1vFgtr8,Hell-Shaking Prayer || We Need This Now More Than Ever 2019,A&Ω Productions
7abbfw3naTw,Ridgecrest Earthquake Damage | 7.1 & 6.4 Earthquakes | Searles Valley | Trona,Huck Outdoors
8GN5SN1yrn8,This Will Happen After Jesus Return: The Millennial Reign of Christ,A&Ω Productions
qBABLX5ch_I,President Trump & the Jezebel Spirit in America,Sid Roth's It's Supernatural!
yroDS2tdkBs,7 Mythical Creatures People Have Seen In Real Life!,The Supreme
khJy5x9LU8s,Barry Stagner: The End of The Beginning,The Truth About God - Barry Stagner
d4Qhoe1iHro,What is God Saying Through the California Earthquakes?,ShekinahWorshipTV
3WZDApI00mM,THE STARS ARE FINDING OUT THE TRUTH - BUT CAN THEY TELL THE TRUTH?,aGATHERING144
FfTuPjzgcoQ,THE PRE-ADAMIC THEORY,END TIMES: DARKNESS DESCENDING
zmSKpvsCWVg,Standing at the Judgement Seat of Christ // L. Ravenhill,A&Ω Productions
_rUJcB0oKs0,Return of the Gods | Ancient Aliens Documentary with Erich Von Daniken,The 5th Kind
uRDMQaIgJvg,Top 15 Most Haunted Places on Earth!,MinnesotaSaint
9k0xj6j8eTY,Your God-Given Destiny Revealed!,Sid Roth's It's Supernatural!
4AG01AGahQI,Prophetic Word: July & Early August 2019,Kay Nash
ViY2J3LPgN4,New sun-driven cooling period of Earth ‘not far off’,Sky News Australia
0kllasiG8LY,Joe Rogan | The New Jersey UFO Phenomenon w/Joey Diaz,JRE Clips
l5P7VNfMWRI,"""Prophecy in Today's News"" - 6/27/2019",Mark Correll Ministries
yx3R3Ca6vOc,Baffling Anunnaki Sumerian Discoveries That EXPERTS are Finding Difficult to Explain,TV Studio Documentaries
9_ka_4Yeid8,SATAN'S HIDDEN CONSPIRACY TO SABOTAGE AMERICA | EPISODE 975,Perry Stone
nY956WVltzQ,This Will Cause America to Become a Third World Nation!,Sid Roth's It's Supernatural!
PnVdMXv4VMs,Hovind's Failure to Correct his errors,AronRa
sU3Qzrq_ZJM,"Breaking Down ""Civil War 2"" - Part Three",Forward Observer
otQbPULro2A,Her Tongue Was TWICE the Size of a Normal Tongue!,Sid Roth's It's Supernatural!
pFfhNtLTTbU,The Mystery of the Parousia - Part 1 | EPISODE 977,Perry Stone
hKH0icH4-yE,A Piece of the Sun Missing? | NASA's Unexplained Files (Full Episode),Science Channel
-xc61kv4aH0,Apollo 16 - Nothing So Hidden,AIRBOYD
L4gBnx8dihA,The Cherokee Link to the End Time Outpouring,Perry Stone
1zz8_MxcnzY,"Nephilim: TRUE STORY of Satan, Fallen Angels, Giants, Aliens, Hybrids, Elongated Skulls & Nephilim",Trey Smith
IZZCGIWAbNc,"Bible Prophecy Update – July 7th, 2019",J.D. Farag
N6-33K4b-Os,Bible Prophecy - Happening Now with Don Stewart (June 2019),Real Life with Jack Hibbs
ftBeTIDv8Vg,The Shocking Truth About Your Future! | Robert Kiyosaki,Clarity Coaching - Transforming Lives
tW4c5MN3B0o,Perplexing Great #Sphinx #Mysteries That We Still Can't Begin To Explain,TV Studio Documentaries
RWDvTLETSyM,An Angel Came & Spoke These Beautiful Words...,Sid Roth's It's Supernatural!
xKy7qXXmkdo,MYSTERIOUS DEMON INTRUSION (Q&A-117),DTBM
R1B52akOQEg,DEMON INTRUSION--Were the Sons of God in Genesis Six Fallen Angels or Demons?,DTBM
CVbOt7JpyM0,Three Events That Take Place Before Christ's Return,DTBM
q6ZgzJCkOW4,'Alien in my backyard:' The UFO community still believes — and science is starting to listen,Orlando Sentinel
8q1EZ3s8BKc,Sylvanas Is A GENIUS! Baine Was NEVER In Danger...,Pyromancer
n91hLjqtsnU,JACLYN HILL DAMAGE CONTROL OVER MOLD!,Peter Monn
HusUs7mniiM,UFOs | Sightings and Strange Cases | Shaun Ryder On UFOs | S01 E04 | Free Documentary,Free Documentary
iyNB7bf9LvY,"Bible Prophecy Update – June 23rd, 2019",J.D. Farag
KZ5M6u0pNR4,A Demon Manifested in Front of Me! Then This Happens…,Sid Roth's It's Supernatural!
R1VycIDWBF8,5 Objects That Might Be of Extraterrestrial Origin!,The Finest
GTC5aIe9u3w,Deep State Rising | Episode 922,Perry Stone
ylisFRIhzcI,Have You Ever Seen A UFO or Encountered Aliens?,Breakfast Club Power 105.1 FM
HxbY6HSYYro,PROOF Aliens Could Exist,American Eye
PuioqR5KGQ8,"How to Fully Treat Whitefly & Caterpillar Infestations on Kale, Collards & Greens: And Spider Mites!",Gary Pilarchik (The Rusted Garden)
seJSm-vD9OA,The Strangest Encounters in Space | NASA's Unexplained Files (Full Episode),Science Channel
47lVwQteyMM,PROPHECY ALERT: TRUMP's 2019 PEACE DEAL Unveiled | Does This Make Kushner the Anti-Christ?,Steve Cioccolanti & Discover Ministries
4AhxRMiUopM,10 DARKEST Secrets of Mars That Will Scare You!,The Finest
-8ZtUDx8A-g,"Amanda Grace Talks...Prophetic Word From The Lord, Powerful!",Ark Of Grace Ministries
VjQNJR4Wni4,The Moment Bob Lazar Knew He Was Dealing with Something Alien | Joe Rogan,JRE Clips
z9w-wzXJBww,IRS scammer gets so frustrated he rage quits!,IRS I reck scammers
gnkzrtBOxNk,It’s Later Than You Think – Pastor Billy Crone,Jan Markell
xRXzfJVcV6s,Climate Change Narrative is Driven by Agenda of Political Control—Myron Ebell,American Thought Leaders - The Epoch Times
PPPOp1SyHjU,Aliens in the Vatican | Tom Horn & Cris Putnam | Sid Roth's It's Supernatural!,Sid Roth's It's Supernatural!
RKwg6YUFdNM,"Kim Clement Prophecy - IRAN, TRUMP AND MORE!",Donné Clement Petruska
BEWz4SXfyCQ,Joe Rogan Experience #1315 - Bob Lazar & Jeremy Corbell,PowerfulJRE
24jet2lJXm0,Bill Salus: The Next Prophecies,Prophecy Source
x5fKBPy9tAE,"God's WARNING thru DREAMS: George Stephanopoulos, Iran, the Deep State vs Trump",Steve Cioccolanti & Discover Ministries
pViVlpzHK00,"2020-2022 Prophecies & Predictions | Third Temple, 4 Horsemen of Apocalypse, Rapture, Psalm Codes",Steve Cioccolanti & Discover Ministries
idTdpzRclCs,UFOs | Abduction by Aliens | Shaun Ryder On UFOs | S01 E03 | Free Documentary,Free Documentary
AP_Q6JqFMf0,GOD vs NO GOD - And the Winner Is?,Linking Arms
k8QLFhbfcRo,Sam Tripoli | This Past Weekend w/ Theo Von #206,Theo Von
SIJwppwJ1Dc,WHO WILL BE LEFT BEHIND | EPISODE 974,Perry Stone
wl0FRCRCT_E,UFOs Caught On Tape | Shaun Ryder On UFOs | S01 E01 | Free Documentary,Free Documentary
ZNdoEJblc_c,Who Killed JFK: On the Trail of the Conspiracies,20C History Project
V60IMARujEE,Can These Theories of Antarctica Be True?!?!,They will Kill You
HHs5M3pyd3Q,"Annie Jacobsen, ""Operation Paperclip""",Politics and Prose
sY9sOh-Onk8,"Kim Clement Prophecy | The Year 2027, Fire, Rain, Destiny, America | February 13th, 2013",Kim Clement
T9QhM9CgTCU,I Thought God Was Joking When He Told Me My Calling…,Sid Roth's It's Supernatural!
H1sZOxHzeuE,Hearing God's Voice in the Early Hours | Episode 826,Perry Stone
tDUF4NtYtxU,"Ep. 3 | Black Triangle UFOs | Phoenix Lights, Hudson Valley, Belgium | The Basement Office",New York Post
EnDYOAqwCsU,Things You Were Never Supposed to See But Found Out Anyways? (Reddit Stories r/AskReddit),UE Stories
