Unnamed: 0,video_id,channel_name,video_title
10821,-aDMP4tFkiM,WGNNews,Armed jewelry store owner scares off would-be looters
11751,DTwHkXF9uPY,FOX13TampaBay,Viral video takes on DUI checkpoints
2145,QL7QzroLD8w,WGAL-Lancaster,"Oz, Fetterman debate Tuesday, Oct. 25 at 8 p.m."
7165,ZTFxJ1UuVFA,WTAE-TVPittsburgh,"Lighting Strikes Pole, Causes Fire"
8935,jjNB62c4pTw,WANE15News,Leo grinds out 14-7 win at East Noble
3775,40KOKvvQiaQ,WashingtonTopNews,Why the Alexandria Black History Museum Reopened with a 'Black Lives Remembered Collection'
10664,aq3jjbe7A_Y,HawaiiNewsNow,Here's what you need to know as flu season approaches
1594,OpoBCdzTB64,CountryLiving,The Scary Reason Why You Should Never Leave Your Water Bottle In Your Car | Country Living
1255,3l_bZMhiKRU,KTLA5,Texas school shooting victims identified
13110,O6wZCzYSebg,FOX10Phoenix,Behind bars: Prolific catalytic converter thief taken off the streets
10072,3w7JvJDpi_o,Kiplinger,Worst College Majors for Career Success
2143,cBp5m03Ygac,WGAL-Lancaster,How To Stay Cool Without Air Conditioning
15313,Rf7XeHwUYy0,PRNewswire,"Search engines, social media & videos"
10300,QB6aJ6v7F-8,FOX11LosAngeles,Cow pursuit: Authorities work to corral up loose bovine in Lakeview Terrace
866,9yxxfP87C-c,KCRG-TV9,Kernels Tarp
14843,GSw8HdQ2hDg,KSDKNewsMO,"Family, friends and teammates attend funeral for Tyre Sampson"
242,H50L9SYvvCM,1010WINS,Watch This Incredible 3-Year-Old Drummer Rock Out
3260,Hi_Yxvklp70,Denver7,Amber Alert: 10-year-old Westminster girl missing since morning
5855,qh4UzX6aMVI,WSAZ,WSAZ Investigates | Hidden camera spurs potential lawsuits
5998,3AcBU2MkTlw,WXYZ-Detroit,Clawson dedicates volleyball floor to MSU shooting victim
9050,PiUCSh6Mb24,ABC7Chicago,Surveillance cameras capture sonic boom from F-16s
870,pTuXe8Mie-Y,KCRG-TV9,Remembering Chris Street 30 years later
13112,FmtRRNPoYFc,FOX10Phoenix,Monsoon rain + damage around the Phoenix area | Sept. 12
14841,XhJK925Ptog,KSDKNewsMO,Ways to regain senses of smell and taste after COVID-19
14693,lCRV7V5BqOo,CincinnatiEnquirer,Cincinnati Bengals Nick Scott on why he switched from running back to defense | Bengals Beat Podcast
248,xf0rq1w4c_Y,1010WINS,4-Year-Old Boy Has The Cutest Friendship With Garbage Man
9313,TZPOxyQ_Z4E,WCPO-Cincinnati,Off-duty officer shoots bank robbery suspect
