video_id,channel_name,video_title
J31j87MGxpA,TheEpochTimes,Interview with James Grant Part 2
wVxOfrfv1wM,MassLive,Forest Park Middle School Honors Women who Found Lost 11-year-old Springfield boy in park
xz1dc_CPUmg,TheHill,"Panel: 'The View' Calls Out Boehner Live, Is He Complicit In GOP 'Off The Rails'?"
v_bIDKgeik4,Politico,Republicansâ new target â¦ Big Bird?
_Osy94fVHvs,MassLive,Fans react to Super Bowl's final play and Eagles storm the field to celebrate
cxwGpfnU0No,BloombergTelevision,The Phone Call That Changed Tim Cook's Life
E824rVCNsHo,Forbes,PS5 Scalpers Are Excited By Sony Shortage News | Forbes
ddAneSQjLNo,TheHill,Krystal and Saagar: DC Elites have no clue of worker suffering
lmedBz5caNg,BusinessInsider,How Much You Need To Make To Be In the 1% In Every State
NaqlVAHVRhc,FoxBusiness,CNN has been overwhelmed with pure hatred of Trump: Varney
YJxv03nIDNQ,DailyMail,'B-b-boobs!' Two-year-old Caiden cries for his mother's breast - Daily Mail
83_Jv4vocKI,BusinessInsider,WWE has a 'Roman Reigns problem' heading into WrestleMania
ZrqV2gM-O4o,WSJ,The Inspiration Behind 'The Girl From Ipanema'
kx-Fax04uog,BBCNews,Colombia plane crash: Four children found alive in Amazon after 40 days - BBC News
RVhGOS5tW8Y,FoxBusiness,Michael Moore predicts Trump will win reelection
OQBDEZy6Wvk,BBCNews,Ukraine welcomes Western tanks as Russian missile strikes continue â BBC News
Nk3ceUaqWJc,BBCNews,Omicron variant in Europe earlier than thought - BBC News
dHENnP11HC0,Vox,Why the US Army tried to exterminate the bison
vmw7w97a6LA,LATimes,What is Google's Driverless car?
e1_4JseKlO4,Vox,The war for the Amazon's most valuable trees
njfFu_FdHt4,MassLive,Amherst cellist Ignacy Gaydamovich plays Bach Sarabande Suite No. 1 as Mater Dolorosa falls
eMLFPlSChok,TheEpochTimes,14 Families Killed in Surprise Water Discharge Caused by Heavy Floods | Epoch News
sZOPvI8ACp4,USAToday,Robert Plant: 'Band of Joy'
Vy8Xpsvxc8g,Reuters,WHO: virus will get 'worse and worse'
yrgoOWG1qrU,WashingtonPost,'Disgustingâ: Video shows students forcing dog to drink beer from keg
SkHfwUl4ikU,C-SPAN,Senate KeystoneXL Pipeline Vote and Protest (C-SPAN)
hwmCa4UwWek,TIME,Hillary Clinton Runs For President: A Look Back | TIME
GG8abZBiaWo,Forbes,ClassPass Founder On How To Build A Stronger Backbone As An Entrepreneur | Forbes
22SAlFNTJrs,CBS,Drone shows quake devastation in Turkey
FCghEFt1qsE,TheHill,Matt Taibbi: Dems' Education Lunacies Will Bring Back Trump. Youngkin Win PROVED Parents Want A Say
vaYNhI1_Zk4,NewsNation,Banfield: Buster Murdaugh 'has lost his entire family' | On Balance
bmtiupTMDkA,CBS,Houston flooding expected to get worse before it gets better
_GUB8ALTpH0,FoxNews,New details emerge from Clinton-Lynch clandestine tarmac meeting
00mjs7w7WCs,TheHill,"Jeffrey Epstein Planned To Use Trump & Clinton SECRETS For Lighter Sentence, New Book REVEALS"
ll_xU2AkmvU,FoxBusiness,Tensions rise as China makes largest ever air incursion in Taiwan
ng3X2WFW0-Q,BBCNews,US sends cluster bombs to Ukraine - BBC News
z8E8BRM_yLo,BBCNews,Japan's Typhoon Jebi leaves destruction in its wake - BBC News
405xgk-EkjQ,BloombergTelevision,"What Oaktree's Howard Marks Thinks of Credit Markets, Fed"
noP0Ro9YxKs,TheHill,Krystal and Saagar: Yang DOMINATES NYC Mayoral Race Poll
2DhLcsg-rzc,BBCNews,Japan's emperor abdicates the throne - BBC News
OxJfsMFOJkI,LATimes,"Ron Artest, on playing against the Houston Rockets"
X7Rwq8r1LDU,ABCNews,Oklahoma Man Fights Death Sentence Day Before Execution Date
xmlHwG-dLOg,NYPost,Biden Judicial Nominee EXPOSED AS CLUELESS on Major Due Process Case During Confirmation Hearing
4FCDq4qltBU,Reuters,"Queen Elizabeth, Britain's longest-reigning monarch, dies at 96"
reR2AZavTE0,DailyMail,Eccentric inventor creates his own FLYING CAR to avoid traffic
rjBUCCvoEo8,NYPost,New York Times Now Admits Hunter's Laptop Is Real! Watch The Media When the Story First Broke...
hFNeBXm0hgA,C-SPAN,"Word for Word: ""I have absolutely nothing to hide."" (C-SPAN)"
bNj9ipQDVtM,BloombergTelevision,"7.3 Magnitude Earthquake Hits Japan, Shaking Tokyo"
OUDmL8Tdcwo,Forbes,Padma Lakshmi On Using Fear As The Ultimate Fuel For Success | Forbes
7yabbZrGxsc,TheHill,NIH's Secret $350M Royalties CASH COW Exposes Agency's BIG PHARMA Collusion: Analysis
Ko5Ywins23Q,TheHill,Ryan Grim: How Progressive Populists Could SINK Manchin
l_z-Ydnefvc,TIME,Here Are The 2017 Emmy Nominations: Saturday Night Live And Westworld Each Nominated 22 Times | TIME
Ky0BA4mowOg,WSJ,Private Tank Ownership: Do You Have What it Takes?
eOL-Y3Ez9Gw,FoxBusiness,Democrats fear loss of House control due to Biden's economic plans
Etr9M_Dn9G0,FoxBusiness,Andy McCarthy: They tried to bamboozle the Hunter Biden judge
